nctId,type,statement
NCT02243176,Exclusion,"Diagnosis or history of: Type 1 diabetes mellitus, diabetes resulting from pancreatic injury or secondary forms of diabetes, eg, acromegaly or Cushing's syndrome. Acute metabolic diabetic complications such as ketoacidosis or hyperosmolar coma within the past 6 months."
NCT01029886,Inclusion,Have been treated with lifestyle modification (diet and exercise) and with one of the following single oral antidiabetic agents (OADs) or combinations of OADs administered at maximum tolerated dose: metformin SU metformin plus an SU metformin plus pioglitazone
NCT06235086,Exclusion,"Received any of the following medications: Prior discontinuation of DPP-4 inhibitors or GLP-1 receptor agonists for efficacy, tolerability, and safety reasons; Systemic glucocorticoid and growth hormone,or other drugs affecting glucose metabolism have been used within 8 weeks before screening;"
NCT02827630,Inclusion,Both hypertension and diabetes are suboptimally controlled at Screening: SBP is ≥ 140 mm Hg (and his/her BP goal is < 140/90 mm Hg). A1C is ≥ 7% and ≤ 11% at Screening (A1C is above goal by ≥ 0.5%).
NCT06288412,Inclusion,"Treated with basal insulin with or without any of the following anti-diabetic drugs/regimens with stable doses >= 90 days prior to the day of screening: Metformin, Dipeptidyl peptidase 4 (DPP-4) inhibitors, Sodium-Glucose Transport Protein 2 (SGLT2) inhibitors"
NCT00325650,Exclusion,Related to laboratory findings: positive test for hepatitis B surface antigen and/or hepatitis C antibody; Positive urine pregnancy test in females of childbearing potential ; Thyroid-stimulating hormone (TSH) and free T4 outside central laboratory normal range.
NCT00325650,Exclusion,"Related to previous or concomitant medications: Within 3 months prior to screening visit and/or during the screening period: anti-obesity drugs (e.g., sibutramine, orlistat, herbal preparations, etc), systemic long-acting corticosteroids; prolonged use (more than 10 days) of systemic corticosteroids;"
NCT04513704,Exclusion,"Use of tobacco and nicotine products, defined as any of the below: Smoking more than 5 cigarettes or the equivalent per day Not willing to refrain from smoking and use of nicotine substitute products during the in-house period."
NCT05694741,Exclusion,"Any laboratory values with the following deviations: Alanine aminotransferase > ULN Aspartate aminotransferase > ULN eGFR < 90 mL/minute/1.73
m2 (calculated using the Chronic Kidney Disease Epidemiology Collaboration formula) White blood cell count < LLN Hemoglobin < LLN"
NCT05694741,Exclusion,"Abnormal vital signs, after 10 minutes supine rest, defined as any of the following: Systolic BP < 90 mmHg or > 140 mmHg. Diastolic BP < 50 mmHg or > 90 mmHg. Heart rate < 45 or > 85 bpm."
