nctId,type,statement
NCT02685774,Inclusion,Body mass index (BMI) between 17.5 ~ 30.5 kg/m^2 and the body weight must be over 55kg Body mass index (BMI) = weight (kg) / height (m)^2
NCT05369065,Inclusion,Vessel diameter of 3 mm to 6.5 mm inclusively with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT05929066,Inclusion,"Have body mass index (BMI) ≥30.0 kilograms per square meter (kg/m²), or ≥27.0 kg/m² with at least one of the following: hypertension dyslipidemia obstructive sleep apnea, or cardiovascular disease"
NCT04838392,Exclusion,Subjects who have or are female of child-bearing potential age: Has a positive pregnancy screening test That plans to become pregnant during the course of study.
NCT03376789,Exclusion,Subjects using the following in the 3 months prior to screening: Insulin pump therapy Any anti-diabetic drugs other than the study insulins allowed by the protocol.
NCT02854748,Exclusion,"Who falls under the following results Liver Function Test (AST, ALT) are exceeded over 1.5x the upper limit of the normal range eGFR < 60mL/min/1.73m2"
NCT05227196,Exclusion,Personal or first-degree relative(s) history of multiple endocrine neoplasia type 2 or medullary thyroid carcinoma(a). As declared by the participant or reported in the medical records
NCT03202563,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT03842267,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT02769091,Inclusion,"The patient has an MRI determined liver fat fraction of equal to or higher than 6% at Screening Additional criteria apply, please contact the investigator for more information"
NCT05564039,Exclusion,"Have any of these cardiovascular (CV) conditions within 60 days prior to screening: acute myocardial infarction, cerebrovascular accident (stroke), or hospitalization due to congestive heart failure (CHF)."
NCT06590324,Inclusion,Documented diagnosis of T2DM (one or more of the following criteria must be met): Documented history of T2DM History of taking diabetes medication HbA1c ≥6.5% at Screening
NCT04065581,Inclusion,Plasma glucose after 75g oral glucose loading show: FPG (Fast Plasma Glucose) < 6.1 mmol / dL. 2-h PG (Plasma Glucose 2 hours after glucose loading) < 7.8 mmol/dL
NCT04141241,Inclusion,The following is confirmed through screening: AST/ALT ≤ 2.5 X ULN Creatinine ≤ 1.5 X ULN Hemoglobin ≥ 10 g/dL 6.5% ≤ HbA1c ≤ 11%
NCT05694741,Inclusion,"Have a BMI between: Part 1: 18 to 32 kg/m2 inclusive, Part 2 and Part 3: 18 to 32 kg/m2 inclusive, and weigh at least 50 kg (males and females)."
NCT05275400,Exclusion,"Have received anytime in the past 6 months, any of the following insulin therapies: prandial insulin insulin mixtures inhaled insulin U-500 insulin, or continuous subcutaneous insulin infusion therapy"
NCT03244800,Exclusion,Poorly controlled hypertension defined as: Systolic BP > 160 mm Hg Diastolic BP ≥ 95 mm Hg after 10 minutes of seated rest and confirmed by repeated measurement at screening.
NCT05803421,Inclusion,"Have HbA1c at screening ≥7.0% and ≤10.5% if background diabetes medication does not include a sulfonylurea, or ≥7.5% and ≤10.5% if background diabetes medication includes a sulfonylurea."
NCT03429543,Inclusion,Documented diagnosis of T2DM at Visit 1A: DINAMO TM: Documented diagnosis of T2DM for at least 8 weeks at Visit 1A DINAMO TM Mono: Confirmation of T2DM at Visit 1A
NCT03429543,Inclusion,Insufficient glycaemic control as measured by the central laboratory at Visit 1A: DINAMO TM: HbA1c ≥ 6.5% and ≤ 10.5% DINAMO TM Mono: HbA1c ≥ 6.5% and ≤ 9.0%
NCT04156685,Exclusion,"Subjects whoes blood pressure exceeds out of normal range as below at screening. SBP : over 100mmHg, under 160mmHg DBP : over 60mmHg, under 100mmHg"
NCT01302028,Exclusion,T2DM: The liver function tests should be within the following ranges: AST/ALT: <2 x ULN Bilirubin: <1.5 x ULN Alk Phos: < 1.5 x ULN
NCT03403556,Exclusion,Having endocrine or metabolic disease known to affect serum lipids or lipoproteins Uncontrolled diabetes (HbA1c ≥ 10%) Uncontrolled thyroid dysfunction (TSH ≥ 3 x ULN)
NCT04809311,Inclusion,On one of the following treatments for T2DM: Metformin ± other OADs Basal insulin ± OADs GLP-1 ± Basal insulin (loose and fixed combination) ± OADs
NCT05363761,Inclusion,Vessel diameter of 3 mm to 7 mm with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT02831361,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >1.5 × upper limit of normal(ULN) AST/ALT >2.5 × ULN
NCT02831361,Exclusion,Patients with a history of hypersensitivity reactions to the drugs below Gemigliptin or drugs belonging to dipeptidyl-peptidase4(DPP4) inhibitors Metformin or drugs belonging to biguanides Insulin
NCT02452632,Exclusion,"Subject has following AST or ALT value: AST: Male > 100 U/L, Female > 80 U/L ALT: Male > 102.5 U/L, Female > 82.5 U/L"
NCT06109311,Exclusion,"Have had any of the following cardiovascular conditions within 60 days prior to baseline. acute myocardial infarction cerebrovascular accident (stroke), or hospitalization for congestive heart failure."
NCT01831726,Inclusion,"Patient was in need of treatment because of progression or relapse defined as: radiological progression for solid tumor and lymphoma for hematologic malignancies, measureable progression or relapse by appropriate criteria"
NCT01803282,Inclusion,Part B: First-Line Colorectal Cancer Histologically confirmed inoperable advanced adenocarcinoma of the colon or rectum Radiographically measureable disease No prior cytotoxic chemotherapy to treat their metastatic disease
NCT03794544,Exclusion,History of another primary malignancy except for: Curative-treated malignancy with no known active disease > 2 years before enrollment on the study Curative-treated non-melanoma skin cancer and/or carcinoma in-situ
NCT00874848,Inclusion,"Has adequate hematologic function as evidenced by: ANC ≥ 1,500/μL PLT ≥ 100,000/μL HGB ≥ 9 g/dL obtained within 1 week prior to the first dose of study medication;"
NCT03909971,Inclusion,Adequate liver function: Total serum bilirubin 1.5 x ULN; Aspartate Aminotransferase (AST) and Alanine Aminotransferase (ALT) 2.5 x ULN (5.0 x ULN in case of liver metastases).
NCT05003622,Exclusion,Previous or concurrent malignancy within 2 years of study entry. Except: Bowen's disease. Cured basal cell or squamous cell skin cancer. Gleason 6 prostate cancer. Treated in-situ carcinoma of cervix.
NCT01139775,Exclusion,Phase 1 portion: Have received more than 2 previous lines of chemotherapy for the advanced/metastatic disease Have received more than 6 cycles of therapy containing an alkylating agent
NCT01920061,Exclusion,Prior therapy for Cisplatin Combination Expansion: Prior platinum (carboplatin or cisplatin) in either the adjuvant or metastatic setting; Prior radiation to >25% bone marrow as estimated by the Investigator.
NCT05205941,Inclusion,"Vital signs after 5 minutes resting in supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT04984759,Inclusion,Children Healthy children falling into the time window for the respective study arm ≤ 5 days for Arms 1 & 3 > 14 days for Arm 2
NCT00978068,Exclusion,"Moderate, Severe or Life-threatening (Grade 2, 3, or 4) AST or ALT found within 4 weeks prior to enrollment: AST: >113U/L (>2.5xULN) ALT: >113U/L (>2.5xULN)"
NCT00978068,Exclusion,"Life-threatening (Grade 4) screening laboratory value found within 4 weeks prior to enrollment for the following: Absolute neutrophil count: <500 mm3 Hemoglobin: <6.5 g/dL Creatinine: >3.5xULN Platelets: <25,000/mm3"
NCT05223933,Exclusion,Exclusion criteria in community: Fokontany with a total population of less than 1000 inhabitants Fokontany in an urban commune Fokontany in an area whose access is risky and perilous
NCT04456634,Inclusion,"Vital signs measured after 5 min in the supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT02610400,Inclusion,"Acceptability Assessment: Individual Interview with refusers, Inclusion Criteria: Refused to participate in rfMDA, RACD, and/or RAVC, and Provides informed consent to take part in the anonymous survey"
NCT04323306,Inclusion,"Normal vital signs after 5 minutes resting in supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT00147368,Exclusion,Initial iSTAT test showing any of the following values: glucose < 4 mmol/L; K+ ≥ 4.2 meq/L; Cl- > 106 meq/L; HCO3- < 20 meq/L.
NCT02773979,Exclusion,"Receipt of any experimental agent* within 30 days prior to enrollment or planned receipt prior to the end of the study. Vaccine, drug, biologic, device, blood product, or medication."
NCT02900066,Inclusion,Able to comply with study procedures: Carry and complete a study diary in case of illness Be trained to collect BFP OR Travel with anyone who has been trained
NCT05012280,Inclusion,"Diagnosed as a severe COVID-19 case according to the following criteria: Presenting clinical signs of pneumonia: fever, cough, dyspnea or crepitations AND Presenting at least one of the following signs:"
NCT06607003,Exclusion,"For persons of childbearing potential: Currently pregnant or breastfeeding, or planning on becoming pregnant or breastfeeding until the end of study. Rh blood group negative."
NCT01775592,Exclusion,Danger signs: not able to drink incontrollable vomiting recent history of convulsions (>1 in 24 hours) unconscious state; neurological impairment unable to sit or stand
NCT03168854,Exclusion,"Not sterilized via bilateral tubal ligation, bilateral oophorectomy, or hysterectomy, or, if menopausal, still menstruating or < 1 year of the last menses. Study vaccination or CHMI"
NCT05929066,Inclusion,"Have body mass index (BMI) ≥30.0 kilograms per square meter (kg/m²), or ≥27.0 kg/m² with at least one of the following: hypertension dyslipidemia obstructive sleep apnea, or cardiovascular disease"
NCT04065581,Inclusion,Plasma glucose after 75g oral glucose loading show: FPG (Fast Plasma Glucose) < 6.1 mmol / dL. 2-h PG (Plasma Glucose 2 hours after glucose loading) < 7.8 mmol/dL
NCT05694741,Inclusion,"Have a BMI between: Part 1: 18 to 32 kg/m2 inclusive, Part 2 and Part 3: 18 to 32 kg/m2 inclusive, and weigh at least 50 kg (males and females)."
NCT03244800,Exclusion,Poorly controlled hypertension defined as: Systolic BP > 160 mm Hg Diastolic BP ≥ 95 mm Hg after 10 minutes of seated rest and confirmed by repeated measurement at screening.
NCT05803421,Inclusion,"Have HbA1c at screening ≥7.0% and ≤10.5% if background diabetes medication does not include a sulfonylurea, or ≥7.5% and ≤10.5% if background diabetes medication includes a sulfonylurea."
NCT03429543,Inclusion,Documented diagnosis of T2DM at Visit 1A: DINAMO TM: Documented diagnosis of T2DM for at least 8 weeks at Visit 1A DINAMO TM Mono: Confirmation of T2DM at Visit 1A
NCT03429543,Inclusion,Insufficient glycaemic control as measured by the central laboratory at Visit 1A: DINAMO TM: HbA1c ≥ 6.5% and ≤ 10.5% DINAMO TM Mono: HbA1c ≥ 6.5% and ≤ 9.0%
NCT02831361,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >1.5 × upper limit of normal(ULN) AST/ALT >2.5 × ULN
NCT01831726,Inclusion,"Patient was in need of treatment because of progression or relapse defined as: radiological progression for solid tumor and lymphoma for hematologic malignancies, measureable progression or relapse by appropriate criteria"
NCT00874848,Inclusion,"Has adequate hematologic function as evidenced by: ANC ≥ 1,500/μL PLT ≥ 100,000/μL HGB ≥ 9 g/dL obtained within 1 week prior to the first dose of study medication;"
NCT03909971,Inclusion,Adequate liver function: Total serum bilirubin 1.5 x ULN; Aspartate Aminotransferase (AST) and Alanine Aminotransferase (ALT) 2.5 x ULN (5.0 x ULN in case of liver metastases).
NCT05003622,Exclusion,Previous or concurrent malignancy within 2 years of study entry. Except: Bowen's disease. Cured basal cell or squamous cell skin cancer. Gleason 6 prostate cancer. Treated in-situ carcinoma of cervix.
NCT02685774,Inclusion,Body mass index (BMI) between 17.5 ~ 30.5 kg/m^2 and the body weight must be over 55kg Body mass index (BMI) = weight (kg) / height (m)^2
NCT05369065,Inclusion,Vessel diameter of 3 mm to 6.5 mm inclusively with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT03376789,Exclusion,Subjects using the following in the 3 months prior to screening: Insulin pump therapy Any anti-diabetic drugs other than the study insulins allowed by the protocol.
NCT02854748,Exclusion,"Who falls under the following results Liver Function Test (AST, ALT) are exceeded over 1.5x the upper limit of the normal range eGFR < 60mL/min/1.73m2"
NCT05227196,Exclusion,Personal or first-degree relative(s) history of multiple endocrine neoplasia type 2 or medullary thyroid carcinoma(a). As declared by the participant or reported in the medical records
NCT03202563,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT03842267,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT02769091,Inclusion,"The patient has an MRI determined liver fat fraction of equal to or higher than 6% at Screening Additional criteria apply, please contact the investigator for more information"
NCT06590324,Inclusion,Documented diagnosis of T2DM (one or more of the following criteria must be met): Documented history of T2DM History of taking diabetes medication HbA1c ≥6.5% at Screening
NCT04141241,Inclusion,The following is confirmed through screening: AST/ALT ≤ 2.5 X ULN Creatinine ≤ 1.5 X ULN Hemoglobin ≥ 10 g/dL 6.5% ≤ HbA1c ≤ 11%
NCT04156685,Exclusion,"Subjects whoes blood pressure exceeds out of normal range as below at screening. SBP : over 100mmHg, under 160mmHg DBP : over 60mmHg, under 100mmHg"
NCT01302028,Exclusion,T2DM: The liver function tests should be within the following ranges: AST/ALT: <2 x ULN Bilirubin: <1.5 x ULN Alk Phos: < 1.5 x ULN
NCT05363761,Inclusion,Vessel diameter of 3 mm to 7 mm with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT02831361,Exclusion,Patients with a history of hypersensitivity reactions to the drugs below Gemigliptin or drugs belonging to dipeptidyl-peptidase4(DPP4) inhibitors Metformin or drugs belonging to biguanides Insulin
NCT02452632,Exclusion,"Subject has following AST or ALT value: AST: Male > 100 U/L, Female > 80 U/L ALT: Male > 102.5 U/L, Female > 82.5 U/L"
NCT02533453,Inclusion,Patients who have not achieved adequate glycaemic control on maximally tolerated doses of these oral therapies; Metformin Sulphonylurea Thiazolidinedione Metformin and sulphonylurea Metformin and thiazolidinedione
NCT06109311,Exclusion,"Have had any of the following cardiovascular conditions within 60 days prior to baseline. acute myocardial infarction cerebrovascular accident (stroke), or hospitalization for congestive heart failure."
NCT03604198,Exclusion,"Major Exclusion Criteria: Premature discontinuation from a relacorilant parent study. Has uncontrolled, clinically significant hypothyroidism or hyperthyroidism Has poorly controlled hypertension Has Stage ≥ 4 renal failure"
NCT01831089,Exclusion,Wash-out period: Less than three weeks since the last chemotherapy-containing regimen Less than three weeks since the last radiotherapy dose Less than four weeks since last monoclonal antibody-containing therapy
NCT02066636,Exclusion,Prohibited Treatments and/or Restricted Therapies Ongoing or planned administration of anti-cancer therapies other than those specified in this study Use of corticosteroids or other immunosuppressive medications
NCT01139775,Exclusion,Phase 1 portion: Have received more than 2 previous lines of chemotherapy for the advanced/metastatic disease Have received more than 6 cycles of therapy containing an alkylating agent
NCT05205941,Inclusion,"Vital signs after 5 minutes resting in supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT04456634,Inclusion,"Vital signs measured after 5 min in the supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT02610400,Inclusion,"Acceptability Assessment: Individual Interview with refusers, Inclusion Criteria: Refused to participate in rfMDA, RACD, and/or RAVC, and Provides informed consent to take part in the anonymous survey"
NCT04323306,Inclusion,"Normal vital signs after 5 minutes resting in supine position: Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT02773979,Exclusion,"Receipt of any experimental agent* within 30 days prior to enrollment or planned receipt prior to the end of the study. Vaccine, drug, biologic, device, blood product, or medication."
NCT01142765,Exclusion,"Contraindication to both anti-malarial drugs; Riamet & chloroquine Concomitant use with other drugs known to cause QT-interval prolongation (e.g.
macrolides, quinolones, amiodarone etc) History of epilepsy"
NCT02900066,Inclusion,Able to comply with study procedures: Carry and complete a study diary in case of illness Be trained to collect BFP OR Travel with anyone who has been trained
NCT06607003,Exclusion,"For persons of childbearing potential: Currently pregnant or breastfeeding, or planning on becoming pregnant or breastfeeding until the end of study. Rh blood group negative."
NCT03168854,Exclusion,"Not sterilized via bilateral tubal ligation, bilateral oophorectomy, or hysterectomy, or, if menopausal, still menstruating or < 1 year of the last menses. Study vaccination or CHMI"
NCT02685774,Inclusion,Body mass index (BMI) between 17.5 ~ 30.5 kg/m^2 and the body weight must be over 55kg Body mass index (BMI) = weight (kg) / height (m)^2
NCT05369065,Inclusion,Vessel diameter of 3 mm to 6.5 mm inclusively with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT05929066,Inclusion,"Have body mass index (BMI) ≥30.0 kilograms per square meter (kg/m²), or ≥27.0 kg/m² with at least one of the following: hypertension dyslipidemia obstructive sleep apnea, or cardiovascular disease"
NCT03202563,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT03842267,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >2 × upper limit of normal(ULN) AST/ALT >3 × ULN
NCT02769091,Inclusion,"The patient has an MRI determined liver fat fraction of equal to or higher than 6% at Screening Additional criteria apply, please contact the investigator for more information"
NCT05564039,Exclusion,"Have any of these cardiovascular (CV) conditions within 60 days prior to screening: acute myocardial infarction, cerebrovascular accident (stroke), or hospitalization due to congestive heart failure (CHF)."
NCT06590324,Inclusion,Documented diagnosis of T2DM (one or more of the following criteria must be met): Documented history of T2DM History of taking diabetes medication HbA1c ≥6.5% at Screening
NCT04065581,Inclusion,Plasma glucose after 75g oral glucose loading show: FPG (Fast Plasma Glucose) < 6.1 mmol / dL. 2-h PG (Plasma Glucose 2 hours after glucose loading) < 7.8 mmol/dL
NCT04141241,Inclusion,The following is confirmed through screening: AST/ALT ≤ 2.5 X ULN Creatinine ≤ 1.5 X ULN Hemoglobin ≥ 10 g/dL 6.5% ≤ HbA1c ≤ 11%
NCT05694741,Inclusion,"Have a BMI between: Part 1: 18 to 32 kg/m2 inclusive, Part 2 and Part 3: 18 to 32 kg/m2 inclusive, and weigh at least 50 kg (males and females)."
NCT03244800,Exclusion,Poorly controlled hypertension defined as: Systolic BP > 160 mm Hg Diastolic BP ≥ 95 mm Hg after 10 minutes of seated rest and confirmed by repeated measurement at screening.
NCT03429543,Inclusion,Documented diagnosis of T2DM at Visit 1A: DINAMO TM: Documented diagnosis of T2DM for at least 8 weeks at Visit 1A DINAMO TM Mono: Confirmation of T2DM at Visit 1A
NCT03429543,Inclusion,Insufficient glycaemic control as measured by the central laboratory at Visit 1A: DINAMO TM: HbA1c ≥ 6.5% and ≤ 10.5% DINAMO TM Mono: HbA1c ≥ 6.5% and ≤ 9.0%
NCT01302028,Exclusion,T2DM: The liver function tests should be within the following ranges: AST/ALT: <2 x ULN Bilirubin: <1.5 x ULN Alk Phos: < 1.5 x ULN
NCT03403556,Exclusion,Having endocrine or metabolic disease known to affect serum lipids or lipoproteins Uncontrolled diabetes (HbA1c ≥ 10%) Uncontrolled thyroid dysfunction (TSH ≥ 3 x ULN)
NCT05363761,Inclusion,Vessel diameter of 3 mm to 7 mm with a minimum arterial treatable length of 20 mm in one or more of the following arteries: Renal Hepatic
NCT02831361,Exclusion,Patients with the outcomes of the laboratory tests performed at Visit 1(Screening) applicable to the criteria below Bilirubin >1.5 × upper limit of normal(ULN) AST/ALT >2.5 × ULN
NCT02831361,Exclusion,Patients with a history of hypersensitivity reactions to the drugs below Gemigliptin or drugs belonging to dipeptidyl-peptidase4(DPP4) inhibitors Metformin or drugs belonging to biguanides Insulin
NCT02533453,Inclusion,Patients who have not achieved adequate glycaemic control on maximally tolerated doses of these oral therapies; Metformin Sulphonylurea Thiazolidinedione Metformin and sulphonylurea Metformin and thiazolidinedione
NCT01831726,Inclusion,"Patient was in need of treatment because of progression or relapse defined as: radiological progression for solid tumor and lymphoma for hematologic malignancies, measureable progression or relapse by appropriate criteria"
NCT03794544,Exclusion,History of another primary malignancy except for: Curative-treated malignancy with no known active disease > 2 years before enrollment on the study Curative-treated non-melanoma skin cancer and/or carcinoma in-situ
NCT00874848,Inclusion,"Has adequate hematologic function as evidenced by: ANC ≥ 1,500/μL PLT ≥ 100,000/μL HGB ≥ 9 g/dL obtained within 1 week prior to the first dose of study medication;"
NCT01117623,Inclusion,"Adequate bone marrow, liver, and renal function as assessed by the following laboratory requirements: Total bilirubin less than or equal to 1.5 x upper limit of normal (ULN)"
NCT01831089,Exclusion,Wash-out period: Less than three weeks since the last chemotherapy-containing regimen Less than three weeks since the last radiotherapy dose Less than four weeks since last monoclonal antibody-containing therapy
NCT03909971,Inclusion,Adequate liver function: Total serum bilirubin 1.5 x ULN; Aspartate Aminotransferase (AST) and Alanine Aminotransferase (ALT) 2.5 x ULN (5.0 x ULN in case of liver metastases).
NCT02066636,Exclusion,Prohibited Treatments and/or Restricted Therapies Ongoing or planned administration of anti-cancer therapies other than those specified in this study Use of corticosteroids or other immunosuppressive medications
NCT01139775,Exclusion,Phase 1 portion: Have received more than 2 previous lines of chemotherapy for the advanced/metastatic disease Have received more than 6 cycles of therapy containing an alkylating agent
