nctId,type,statement
NCT05925920,Exclusion,"Use of medications affecting body weight within the past three months: Drugs approved for the treatment of obesity Cyproheptadine or medroxyprogesterone Atypical anti-psychotic drugs Tricyclic antidepressants Lithium, MAO's, glucocorticoids SSRI's or SNRI's Antiepileptic drugs"
NCT01865474,Exclusion,"For females of childbearing potential: Pregnancy, breast-feeding, the intention of becoming pregnant. Patients must accept pregnancy tests during the trial if menstrual cycle is missed. Fertile patients must use a reliable and effective contraceptive."
NCT05369065,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic Corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT00500331,Exclusion,Diabetic Medication Has taken insulin or any oral or injectable anti-diabetic medication ≥4 weeks at any time prior to screening. Has taken insulin or any oral or injectable anti-diabetic medication within 3 months of screening.
NCT00570739,Inclusion,"Previous diagnosis of: T2DM or prediabetes, to be enrolled in the respective cohorts, or CHD, CVD, and/or primary hypercholesterolemia + BMI greater than or equal to 25 mg/kg2 to be screened for T2DM or pre-diabetes."
NCT06258148,Exclusion,"3. Received any of the following medications: Prior discontinuation of DPP-4 inhibitors or GLP-1 receptor agonists for efficacy, tolerability, and safety reasons; Systemic glucocorticoid and growth hormone have been used within 8 weeks before screening;"
NCT06258148,Exclusion,ii. Laboratory tests show any of the following abnormalities: FPG≥13.9 mmol/L; ALT or AST≥2.5×ULN; Total bilirubin (TBiL) ≥2.0×ULN; Triglyceride >5.7 mmol/L; eGFR<45 mL/(min*1.73 m^2); Serum amylase and/or lipase ≥3×ULN; Hemoglobin <100 g/L; Calcitonin≥50 ng/L(pg/mL);
NCT05362058,Inclusion,"These antihyperglycemic medications are accepted in the study dipeptidyl peptidase-4 (DPP-4) inhibitors sodium-glucose cotransporter 2 (SGLT2) inhibitors biguanides, such as metformin alpha-glucosidase inhibitors glucagon-like peptide-1 (GLP-1) receptor agonists, oral or injectable Sulfonylureas, or Thiazolidinediones."
NCT00770835,Exclusion,Is unable to remain on a stable dose of the following class of medications 30 days prior to randomization and throughout the six months of the study: antihypertensives statins other hypolipidemic and antiplatelet drugs
NCT03202563,Exclusion,Patients with a history of hypersensitivity reactions to the drugs below Gemigliptin or drugs belonging to dipeptidyl-peptidase4(DPP4) inhibitors Dapagliflozin or drugs belonging to Sodium/glucose co transport-2(SGLT-2) inhibitor Metformin or drugs belonging to biguanides
NCT00196989,Exclusion,History of cancer except for the following: Basal cell carcinoma or superficial squamous cell carcinoma treated by local excision. Cervical cancer in situ treated definitively more than 6 months prior to screening.
NCT05564039,Exclusion,"Have been treated with insulin prior to screening Exception: use of insulin for gestational diabetes or short-term use (<14 days) for acute conditions such as acute illness, hospitalization, or elective surgery."
NCT02175121,Inclusion,HbA1c value at the screening visit meeting once of the following criteria: Currently taking acceptable oral antiglycemic drug therapy within 6.5 to 9.5% Not currently taking any oral antiglycemic drug therapy within 7 to 10.5%
NCT02183350,Inclusion,Glycosylated haemoglobin A1 (HbA1c) ≤ 8.5 % at screening for patients treated with diet and exercise and/or one oral hypoglycaemic agent or ≤ 8.0 % at screening for patients treated with two oral hypoglycaemic agents
NCT00495469,Exclusion,"Diabetic Medication Has taken insulin, or any oral or injectable anti-diabetic medication within 3 months of screening Has taken insulin or any oral or injectable anti-diabetic medication ≥4 weeks at any time in the past"
NCT02426541,Inclusion,"Female subjects must be of non-childbearing potential, meeting at least one of the following criteria: Hysterectomized females Postmenopausal women, defined as women who have not had a menstrual period within 1 year"
NCT06152042,Inclusion,Fasting or stimulated C-peptide Concentration at Screening as follows: C-peptide concentration ≥0.2 nmol/L if diagnosed within 3 years prior to screening. C-peptide concentration ≥0.08 nmol/L if diagnosed between 3 and 15 years prior to screening.
NCT02183324,Inclusion,Glycosylated haemoglobin A1 (HbA1c) <= 8.5% at screening for patients treated with diet and/or exercise and/or one oral hypoglycaemic agent or <= 8.0% at screening for patients treated with two oral hypoglycaemic agents
NCT00521742,Exclusion,"Any of the following: myocardial infarction coronary angioplasty or bypass graft unstable angina pectoris transient ischemic attacks documented cerebrovascular accident.
9. Abdominal, thoracic, or vascular surgery during the 3 months prior to Visit 1."
NCT05238142,Inclusion,Is willing to take one of the following insulins and can financially support the use of insulin preparations as required by the study: Humalog (insulin lispro injection) NovoLog/NovoRapid (insulin aspart injection) Admelog (insulin lispro injection)
NCT05238142,Exclusion,"Has a history of 2 or more episodes of severe hypoglycemia, which resulted in any the following during the 6 months prior to screening: Medical assistance (i.e., Paramedics, Emergency Room [ER] or Hospitalization) Coma Seizures"
NCT02332824,Exclusion,"The participant has any of the cardiovascular diseases listed below: Cardiac diseases: angina pectoris, arrhythmia, and congested heart failure that requires medication Vascular diseases: arteriosclerosis obliterans with symptoms (e.g., intermittent claudication)"
NCT05275400,Exclusion,"Have had any of New York Heart Association Class IV heart failure or any of the following CV conditions in the past 3 months: acute myocardial infarctions cerebrovascular accident (stroke), or coronary bypass surgery"
NCT05816759,Inclusion,"Those who meet the criteria of anthropometric data Man: Body weight ≥ 50 kg, Body mass index 18 to 30 kg/m2 Woman: Body weight ≥ 45 kg, Body mass index 18 to 30 kg/m2"
NCT02784275,Exclusion,"Subjects who take any of the following medications: Psychoactive agents such as monoamine oxidase inhibitors and antidepressants (e.g., lithium, Prozac, Zoloft, Serzone, Paxil, Effexor). Any other medications that may pose harm to the subject."
NCT06246175,Inclusion,"Renal function, assessed by estimated glomerular filtration rate at screening (eGFR): Normal renal function: 90-129 mL/min (inclusive); Mild impairment: 60-89 mL/min (inclusive); Moderate impairment: 30-59 mL/min (inclusive); Severe impairment: 15-29 mL/min (inclusive);"
NCT01524770,Inclusion,The method may be one of the following: condom with spermicidal agent male participant sterilization true abstinence (which is in line with the participant's usual lifestyle choice; withdrawal or calendar methods are not considered acceptable)
NCT01427699,Exclusion,"Infectious disease: CRP >30 mg/L, fever, or infection requiring treatment with antibiotics within 3 weeks prior to Screening History of recurrent infection or predisposition to infection Active leg or foot ulcer"
NCT05054842,Exclusion,"General situation: 1) Known or suspected allergy to DPP4i drugs or investigational drug excipients; 2) Pregnant or lactating women, fertile men or women were unwilling to use contraception during the study period;"
NCT01871415,Exclusion,"Diagnosis or history of: Type 1 diabetes mellitus, diabetes resulting from pancreatic injury, or secondary forms of diabetes Acute metabolic diabetic complications such as ketoacidosis or hyperosmolar coma within the past 6 months"
NCT02183415,Inclusion,Glycosylated haemoglobin A1 (HbA1c) ≤ 8.5 % at screening for patients treated with diet and exercise and/or one oral hypoglycaemic agent or ≤ 8.0 % at screening for patients treated with two oral hypoglycaemic agents
NCT04150107,Inclusion,T1D subjects must have: A documented history of type 1 diabetes for at least 6 months Should be on an MDI regimen C peptide levels of ˂ 0.7 ng/mL HbA1C ≥ 6.5% to ≤10%
NCT02152371,Inclusion,"Are females of childbearing potential who must: Test negative for pregnancy at screening, based on a serum pregnancy test Agree to use a reliable method of birth control Not be breastfeeding"
